,Date - Heure,target,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
1216,2025-02-20 16:00:00+01:00,55737.75,1.0093368,1.8954692,-0.2035839,-0.071380906,-0.77304745,-1.693055,0.6697272,-0.66429913,-0.032405794,-0.18830395,0.7186102,-0.44695982,0.12203083,0.017142396,0.030966116,0.21331023,0.6795178,-1.0969299
3732,2025-06-05 12:00:00+01:00,48042.25,-1.5621375,1.0177519,-0.5272839,0.57029545,-0.4690125,-1.5311488,1.9164808,0.37977493,0.32123798,0.81842536,-0.46527594,1.001699,-0.71633387,0.41303742,-0.8737538,0.21426645,0.15639555,0.24379843
6430,2025-09-25 22:00:00+01:00,46465.0,-0.5680109,-0.741311,2.4028277,0.101584345,-0.43118447,-1.0640162,0.68436754,0.023497,0.9595372,0.4098681,-0.55968994,-0.2139026,-0.26790163,-0.9905606,0.06730616,-0.15650815,-0.102990925,-0.70745164
3500,2025-05-26 20:00:00+01:00,42716.5,0.6274566,-0.5368718,1.4134891,-0.55507004,2.464445,0.8846962,2.1773317,-0.040418737,0.6995813,0.50098515,0.114289746,0.30673996,-0.559939,0.41553026,-0.47858304,0.0049982937,0.026600728,0.36503708
4389,2025-07-02 21:00:00+01:00,48849.5,1.7651956,-0.43027163,1.3016138,-0.5247043,0.33138746,3.622517,0.59017754,0.016177647,-1.1342202,-0.9428249,1.0313104,0.18517125,-0.45558453,0.47168693,0.46004802,-1.4616756,-0.27128157,0.41062507
3378,2025-05-21 18:00:00+01:00,47620.5,0.6653982,-0.39829242,1.1437483,-0.6649282,2.5087044,-0.16910428,1.5996728,-0.27344623,1.2571828,0.18365434,-0.25138107,1.2183406,-0.19933037,-0.02649012,1.0027791,0.26434195,0.47728467,0.08329651
3104,2025-05-10 08:00:00+01:00,38685.25,-2.3512516,-0.9171938,-0.9395167,-0.3162454,1.4973192,-0.42851675,-0.072715335,0.5333064,-0.4075122,0.44905087,-0.2577029,-0.012026699,-0.5604831,0.51701164,-1.763875,-0.0050408803,0.13700268,0.31354454
566,2025-01-24 14:00:00+01:00,66199.75,2.3382082,5.408488,-2.6712413,0.7465303,0.30051953,0.708879,-1.4250185,2.025771,0.5301136,-0.57240933,-2.9650416,-0.7283224,0.40465203,-0.43521458,0.2861469,-1.4922252,0.7213506,-0.14573787
6973,2025-10-18 13:00:00+01:00,43650.0,-3.5476217,-0.14248149,-0.9576941,-0.39073387,-0.9039278,-0.9271687,-1.6943771,2.3284142,-0.2772884,-1.6476818,-0.03374886,1.4458344,-0.17197596,-0.2935694,0.8486327,-0.2067816,0.3088342,0.26283392
2243,2025-04-04 11:00:00+01:00,50461.5,-2.2234359,-1.7115006,-3.1169724,1.4958575,-2.1513243,-0.76019824,0.3398213,-2.9445622,1.4532242,-0.5612848,0.33282083,0.8299416,0.41885054,-1.4727911,-0.26700372,0.48147282,-0.51050985,0.70226294
7321,2025-11-02 01:00:00+01:00,40180.25,-1.9217178,2.4977026,1.4039478,-0.28321216,-0.8008462,0.2536466,-0.41035533,0.079773374,-0.24256687,0.69832534,-0.122549154,-0.40615696,-0.14793861,0.16351432,0.41323587,0.43649173,0.46132535,-0.26526046
6540,2025-09-30 12:00:00+01:00,49984.0,-2.9154167,-0.751203,-0.06401891,-0.6068523,-2.5915577,-1.3152127,-2.1308694,-0.3126417,0.7008805,-0.6699141,-1.5956333,0.7288871,-0.39279696,-0.138937,0.7567465,-0.27926615,1.8632993,0.16311225
1816,2025-03-17 16:00:00+01:00,56138.5,0.13099894,2.1766052,-2.4653513,1.0424756,-0.0236599,-0.8123491,-0.052036576,-0.40252697,-0.8176025,-0.7871513,-0.76167554,-0.8125769,-0.22368178,0.0935065,-0.20435867,0.38782707,1.340267,0.4841997
5416,2025-08-14 16:00:00+01:00,47459.5,-1.4576261,-2.0185273,0.13492705,-0.99860024,-0.7920879,-1.7891307,-0.21446308,0.10859051,-0.41115868,-0.5566932,-0.25653705,0.13257834,-0.3185196,0.4159066,0.057588607,-0.58774275,-0.56560516,0.13331608
66,2025-01-03 18:00:00+01:00,71031.75,7.046342,-0.9052472,0.61339587,2.4482446,0.39038837,-1.2069049,1.9259411,-0.615419,4.297588,0.0034755915,-0.83832544,-1.8834364,-0.79112446,-0.9941844,0.083353564,-0.36771756,-0.6887307,-0.3105972
6424,2025-09-25 16:00:00+01:00,48348.5,-1.4627043,-0.5820398,0.36213416,0.48759323,-0.6376512,-1.9872484,-0.38111496,-0.095432706,-0.05880491,0.592849,0.0964195,0.59230757,-0.1445124,-0.3025316,0.8478644,-0.18086849,-0.07527115,-0.9053724
3472,2025-05-25 16:00:00+01:00,34184.0,-2.4738204,-0.6978843,-1.9083917,0.85427284,1.7731739,1.0328693,1.1035994,0.19458173,-1.4856524,2.1996756,1.0383674,1.1213048,-0.4593197,0.99670166,-1.8560144,-1.1824965,0.0075954264,-0.3721303
5421,2025-08-14 21:00:00+01:00,44816.75,-0.1406713,-1.2928184,1.9874064,-0.49135238,-1.6422107,0.58084524,1.452724,-0.7950945,-0.5502763,0.04703028,-0.08224065,-1.3048615,-0.32199758,-0.18346798,-1.1298844,-0.69429153,-0.7101626,0.5089973
3038,2025-05-07 14:00:00+01:00,46226.0,-1.236632,0.16269352,-1.0188662,0.03678806,1.7151735,-0.4889659,-0.33871877,-1.3378575,0.2707529,-0.33766586,-0.33243027,0.9817893,-0.63874054,0.23613162,-1.2801547,-0.14005953,0.08381709,0.77076507
26,2025-01-02 02:00:00+01:00,53798.0,1.158399,2.577815,-3.4019163,0.913473,-0.99545825,0.4100023,-0.6639842,-1.2701156,2.2620122,0.8102958,-0.22540362,-2.3798556,1.1262847,-0.07429677,-0.9388858,-0.35764706,-1.5241508,0.655635
5537,2025-08-19 17:00:00+01:00,45912.0,-1.0518212,-1.4710312,0.6737808,-0.22884758,-0.9888926,-0.54765797,0.9154471,0.069738016,-1.6979927,-0.6256839,0.27092773,-0.3070653,0.12756795,-0.13440366,0.914382,-0.5884303,-1.1180526,0.009230871
4834,2025-07-21 10:00:00+01:00,47865.0,-3.0019338,1.7045547,-0.5821166,0.9157324,-0.82689327,-0.2698899,0.38300735,-0.07695316,-0.549599,-0.8858573,-0.7582664,0.063000366,-0.9765962,1.2430732,0.12488478,-0.16055304,0.37951544,0.014469703
2031,2025-03-26 15:00:00+01:00,52332.5,0.80135506,-0.6816249,-2.0526927,-0.7055596,0.78253686,-1.704904,-0.7004016,1.7545455,-0.42604405,-0.771106,-0.24729797,-0.30984408,0.46359688,-1.1786891,-0.7597265,-0.15993014,0.4115435,0.43178695
213,2025-01-09 21:00:00+01:00,64019.75,5.6989226,2.013509,-0.004374955,-1.0037496,-1.4201579,-0.2687794,-0.08172234,-0.56440103,1.7976635,1.7261189,-2.4926453,-0.5210921,-0.63964856,0.52375805,-0.6162204,2.2037597,-0.9185575,-0.56361246
6478,2025-09-27 22:00:00+01:00,43240.5,-1.4765812,0.02089576,2.0701647,-1.1774751,-0.5728007,-0.85251176,0.16120808,1.8172516,1.1108398,-0.20504044,-0.6143906,0.57162964,0.4904045,-1.9608889,0.453404,0.16741587,-0.13057569,-0.30652696
2182,2025-04-01 22:00:00+01:00,51159.75,-1.2999465,4.1753597,0.43511036,1.0116904,-0.76133734,-0.57513535,1.6272827,0.034734406,0.03585888,0.2837409,0.15335473,-0.17782602,-0.22257799,0.7204881,0.14381757,-0.39098316,-0.30714285,-0.25719064
3727,2025-06-05 07:00:00+01:00,44847.0,-1.5902879,1.2239558,0.47804776,0.2677831,-0.16197893,-1.2179143,1.9072504,-0.25111464,0.2530692,1.3238932,-0.5267471,-0.005560438,-0.61385727,0.7881644,-0.68425936,0.42212373,-0.0057906825,-0.054280624
